Participants,diag.slope100.,diag.slope10.,diag.slope1.,diag.slope5.
Vogue1B.01.01,0.000993411,0.000985963,0.000985261,0.000985572
Vogue1B.01.04,5.50E-06,5.50E-06,5.50E-06,5.50E-06
Vogue1B.01.05,0.003884645,0.003426623,0.003380918,0.003401231
Vogue1B.01.06,0.002826206,0.002536181,0.002507837,0.002520419
Vogue1B.01.08,0.000712112,0.000706186,0.000705623,0.000705872
Vogue1B.01.09,0.00021599,0.000215468,0.000215416,0.000215439
Vogue1B.01.11,0.000359603,0.000353516,0.000352952,0.000353201
Vogue1B.01.12,0.001920553,0.001902445,0.001900639,0.001901442
Vogue1B.01.13,0.002177331,0.002177294,0.002177294,0.002177294
Vogue1B.01.15,0.000668442,0.000658706,0.000657732,0.000658165
Vogue1B.01.17,0.004699743,0.004492649,0.004491025,0.004491335
Vogue1B.01.21,2.60E-06,2.60E-06,2.60E-06,2.60E-06
Vogue1B.01.26,0.000333836,0.000333424,0.000333383,0.000333401
Vogue1B.01.27,0.002599456,0.002461784,0.002449647,0.002455008
Vogue1B.01.32,0.000576064,0.000576037,0.000576037,0.000576037
Vogue1B.01.34,1.04E-05,1.04E-05,1.04E-05,1.04E-05
Vogue1B.01.36,4.07E-05,4.06E-05,4.06E-05,4.06E-05
Vogue1B.01.37,0.00020044,0.000200381,0.000200381,0.000200381
Vogue1B.01.38,4.75E-05,4.75E-05,4.75E-05,4.75E-05
Vogue1B.01.40,0.002314173,0.002246948,0.002241211,0.002243739
Vogue1B.01.43,2.78E-06,2.78E-06,2.78E-06,2.78E-06
Vogue1B.01.51,0.003786846,0.003599848,0.003585034,0.00359153
Vogue1B.01.52,0.001682963,0.001682558,0.001682557,0.001682558
Vogue1B.01.03,0.001200885,0.001185096,0.00118352,0.00118422
Vogue1B.01.48,0.004182611,0.003692186,0.003644315,0.003665567
